model,bits,granularity,seed,exception,d_sink_ppl,d_sink_total_nats,d_sink_non_sink_nats,d_sink_at_sink_nats,contamination_share,n_sink_positions,n_total_positions
gated_1b_elementwise,4,per_token,1,position_0,114.78390544382637,0.006219921717601551,0.006219921717601551,,1.0,0,255
gated_1b_elementwise,4,per_token,2,position_0,114.78390544382637,0.006219921717601551,0.006219921717601551,,1.0,0,255
gated_1b_elementwise,4,per_token,3,position_0,114.78390544382637,0.006219921717601551,0.006219921717601551,,1.0,0,255
gated_1b_elementwise,4,per_token,4,position_0,114.78390544382637,0.006219921717601551,0.006219921717601551,,1.0,0,255
gated_1b_elementwise,6,per_tensor,0,position_0,53342.069529237284,0.5348946830294299,0.5348946830294299,,1.0,0,255
gated_1b_elementwise,6,per_tensor,1,position_0,41488.11517652316,0.4580434006291849,0.4580434006291849,,1.0,0,255
gated_1b_elementwise,6,per_tensor,2,position_0,40000.2168064132,0.408338067644074,0.408338067644074,,1.0,0,255
gated_1b_elementwise,6,per_tensor,3,position_0,47354.97533393394,0.5040949679107651,0.5040949679107651,,1.0,0,255
gated_1b_elementwise,6,per_tensor,4,position_0,39259.81032804915,0.4018975623828531,0.4018975623828531,,1.0,0,255
gated_1b_elementwise,6,per_token,0,position_0,12.616472448206991,0.10351377908983839,0.10351377908983839,,1.0,0,255
gated_1b_elementwise,6,per_token,1,position_0,12.616472448206991,0.10351377908983839,0.10351377908983839,,1.0,0,255
gated_1b_elementwise,6,per_token,2,position_0,12.616472448206991,0.10351377908983839,0.10351377908983839,,1.0,0,255
gated_1b_elementwise,6,per_token,3,position_0,12.616472448206991,0.10351377908983839,0.10351377908983839,,1.0,0,255
gated_1b_elementwise,6,per_token,4,position_0,12.616472448206991,0.10351377908983839,0.10351377908983839,,1.0,0,255
gated_1b_elementwise,8,per_tensor,0,position_0,582.5325909331691,0.17021518198798447,0.17021518198798447,,1.0,0,255
gated_1b_elementwise,8,per_tensor,1,position_0,383.23928768725136,0.11752512713847985,0.11752512713847985,,1.0,0,255
gated_1b_elementwise,8,per_tensor,2,position_0,505.87300435297584,0.13769885485794475,0.13769885485794475,,1.0,0,255
gated_1b_elementwise,8,per_tensor,3,position_0,399.60591609672747,0.11980953327877764,0.11980953327877764,,1.0,0,255
gated_1b_elementwise,8,per_tensor,4,position_0,442.7932978574968,0.1385780255273712,0.1385780255273712,,1.0,0,255
gated_1b_elementwise,8,per_token,0,position_0,0.014062925766936019,0.0009300259326621152,0.0009300259326621152,,1.0,0,255
gated_1b_elementwise,8,per_token,1,position_0,0.014062925766936019,0.0009300259326621152,0.0009300259326621152,,1.0,0,255
gated_1b_elementwise,8,per_token,2,position_0,0.014062925766936019,0.0009300259326621152,0.0009300259326621152,,1.0,0,255
gated_1b_elementwise,8,per_token,3,position_0,0.014062925766936019,0.0009300259326621152,0.0009300259326621152,,1.0,0,255
gated_1b_elementwise,8,per_token,4,position_0,0.014062925766936019,0.0009300259326621152,0.0009300259326621152,,1.0,0,255
gated_1b_headwise,4,per_tensor,0,position_0,49680.53567465651,0.15446150026386185,0.15446150026386185,,1.0,0,255
gated_1b_headwise,4,per_tensor,1,position_0,49877.37374826765,0.1492827094888174,0.1492827094888174,,1.0,0,255
gated_1b_headwise,4,per_tensor,2,position_0,-3138.7474192695518,-0.015068765638474702,-0.015068765638474702,,1.0,0,255
gated_1b_headwise,4,per_tensor,3,position_0,67783.30345165957,0.20579196198081107,0.20579196198081107,,1.0,0,255
gated_1b_headwise,4,per_tensor,4,position_0,56904.57681225124,0.11232431318625835,0.11232431318625835,,1.0,0,255
gated_1b_headwise,4,per_token,0,position_0,792.6722864481915,0.4580593424509951,0.4580593424509951,,1.0,0,255
gated_1b_headwise,4,per_token,1,position_0,792.6722864481915,0.4580593424509951,0.4580593424509951,,1.0,0,255
gated_1b_headwise,4,per_token,2,position_0,792.6722864481915,0.4580593424509951,0.4580593424509951,,1.0,0,255
gated_1b_headwise,4,per_token,3,position_0,792.6722864481915,0.4580593424509951,0.4580593424509951,,1.0,0,255
gated_1b_headwise,4,per_token,4,position_0,792.6722864481915,0.4580593424509951,0.4580593424509951,,1.0,0,255
gated_1b_headwise,6,per_tensor,0,position_0,35.154729650409635,0.3415628181088506,0.3415628181088506,,1.0,0,255
gated_1b_headwise,6,per_tensor,1,position_0,21.536716071398544,0.2511085075674151,0.2511085075674151,,1.0,0,255
gated_1b_headwise,6,per_tensor,2,position_0,33.500131225328346,0.31065469413128177,0.31065469413128177,,1.0,0,255
gated_1b_headwise,6,per_tensor,3,position_0,14.920276030140627,0.21203257908681383,0.21203257908681383,,1.0,0,255
gated_1b_headwise,6,per_tensor,4,position_0,22.537115920637802,0.2845919458041779,0.2845919458041779,,1.0,0,255
gated_1b_headwise,6,per_token,0,position_0,0.03622773609868091,0.0020552722415523306,0.0020552722415523306,,1.0,0,255
gated_1b_headwise,6,per_token,1,position_0,0.03622773609868091,0.0020552722415523306,0.0020552722415523306,,1.0,0,255
gated_1b_headwise,6,per_token,2,position_0,0.03622773609868091,0.0020552722415523306,0.0020552722415523306,,1.0,0,255
gated_1b_headwise,6,per_token,3,position_0,0.03622773609868091,0.0020552722415523306,0.0020552722415523306,,1.0,0,255
gated_1b_headwise,6,per_token,4,position_0,0.03622773609868091,0.0020552722415523306,0.0020552722415523306,,1.0,0,255
gated_1b_headwise,8,per_tensor,0,position_0,0.19713710871790724,0.01174362775728266,0.01174362775728266,,1.0,0,255
gated_1b_headwise,8,per_tensor,1,position_0,0.20398553859915936,0.012156461760583603,0.012156461760583603,,1.0,0,255
gated_1b_headwise,8,per_tensor,2,position_0,0.1280384625347537,0.007698304582597348,0.007698304582597348,,1.0,0,255
gated_1b_headwise,8,per_tensor,3,position_0,0.13800697626333402,0.008290808292617857,0.008290808292617857,,1.0,0,255
gated_1b_headwise,8,per_tensor,4,position_0,-0.1671134579837883,-0.010004658372768205,-0.010004658372768205,,1.0,0,255
gated_1b_headwise,8,per_token,0,position_0,0.017697489344618234,0.0011820453401969466,0.0011820453401969466,,1.0,0,255
gated_1b_headwise,8,per_token,1,position_0,0.017697489344618234,0.0011820453401969466,0.0011820453401969466,,1.0,0,255
gated_1b_headwise,8,per_token,2,position_0,0.017697489344618234,0.0011820453401969466,0.0011820453401969466,,1.0,0,255
gated_1b_headwise,8,per_token,3,position_0,0.017697489344618234,0.0011820453401969466,0.0011820453401969466,,1.0,0,255
gated_1b_headwise,8,per_token,4,position_0,0.017697489344618234,0.0011820453401969466,0.0011820453401969466,,1.0,0,255
gpt2_small,4,per_tensor,0,position_0,2430.582454008893,0.47935371961371587,0.47935371961371587,,1.0,0,255
gpt2_small,4,per_tensor,1,position_0,3260.8418028543215,0.7415907848060268,0.7415907848060268,,1.0,0,255
gpt2_small,4,per_tensor,2,position_0,3519.9806490324677,0.7444611949663535,0.7444611949663535,,1.0,0,255
gpt2_small,4,per_tensor,3,position_0,2460.5404482952868,0.4729724589640547,0.4729724589640547,,1.0,0,255
gpt2_small,4,per_tensor,4,position_0,2313.0118966684527,0.553709709885366,0.553709709885366,,1.0,0,255
