model,seed,bits,granularity,exception,ppl_ref,ppl_quant,delta_ppl,delta_nll,nll_all,nll_sink,nll_non_sink,n_sink_cols,n_total_cols,n_exempt_positions,corpus_sha256,holdout_sha,source
gated_1b_baseline,0,4,per_tensor,none,14.70770960215786,2306274.7094514538,2306260.0017418517,11.962772281804863,14.65114410083887,,14.65114410083887,0,255,0,,,gated_1b_baseline_b4_per_tensor_none_calib0.json
gated_1b_baseline,1,4,per_tensor,none,14.70770960215786,3736819.111362597,3736804.403652995,12.445373483488877,15.133745302522884,,15.133745302522884,0,255,0,,,gated_1b_baseline_b4_per_tensor_none_calib1.json
gated_1b_baseline,2,4,per_tensor,none,14.70770960215786,2725251.409174392,2725236.70146479,12.129699423037243,14.81807124207125,,14.81807124207125,0,255,0,,,gated_1b_baseline_b4_per_tensor_none_calib2.json
gated_1b_baseline,3,4,per_tensor,none,14.70770960215786,5280301.838127175,5280287.130417573,12.791122001326471,15.479493820360478,,15.479493820360478,0,255,0,,,gated_1b_baseline_b4_per_tensor_none_calib3.json
gated_1b_baseline,4,4,per_tensor,none,14.70770960215786,3574010.9570290814,3573996.2493194793,12.400827221423599,15.089199040457606,,15.089199040457606,0,255,0,,,gated_1b_baseline_b4_per_tensor_none_calib4.json
gated_1b_baseline,0,4,per_tensor,position_0,14.70770960215786,565330.9612085833,565316.2534989811,10.556794791647683,13.24516661068169,,13.24516661068169,0,255,1,,,gated_1b_baseline_b4_per_tensor_position_0_calib0.json
gated_1b_baseline,1,4,per_tensor,position_0,14.70770960215786,306957.46807293483,306942.7603633327,9.946092657458669,12.634464476492676,,12.634464476492676,0,255,1,,,gated_1b_baseline_b4_per_tensor_position_0_calib1.json
gated_1b_baseline,2,4,per_tensor,position_0,14.70770960215786,325428.5349851764,325413.82727557427,10.004526342914088,12.692898161948095,,12.692898161948095,0,255,1,,,gated_1b_baseline_b4_per_tensor_position_0_calib2.json
gated_1b_baseline,3,4,per_tensor,position_0,14.70770960215786,259495.8617228266,259481.15401322444,9.778124215308715,12.466496034342722,,12.466496034342722,0,255,1,,,gated_1b_baseline_b4_per_tensor_position_0_calib3.json
gated_1b_baseline,4,4,per_tensor,position_0,14.70770960215786,488822.0700678248,488807.36235822266,10.411382018316136,13.099753837350143,,13.099753837350143,0,255,1,,,gated_1b_baseline_b4_per_tensor_position_0_calib4.json
gated_1b_baseline,0,4,per_token,none,14.70770960215786,4622.123889693768,4607.416180091611,5.7502377757885075,8.438609594822514,,8.438609594822514,0,255,0,,,gated_1b_baseline_b4_per_token_none_calib0.json
gated_1b_baseline,1,4,per_token,none,14.70770960215786,4622.123889693768,4607.416180091611,5.7502377757885075,8.438609594822514,,8.438609594822514,0,255,0,,,gated_1b_baseline_b4_per_token_none_calib1.json
gated_1b_baseline,2,4,per_token,none,14.70770960215786,4622.123889693768,4607.416180091611,5.7502377757885075,8.438609594822514,,8.438609594822514,0,255,0,,,gated_1b_baseline_b4_per_token_none_calib2.json
gated_1b_baseline,3,4,per_token,none,14.70770960215786,4622.123889693768,4607.416180091611,5.7502377757885075,8.438609594822514,,8.438609594822514,0,255,0,,,gated_1b_baseline_b4_per_token_none_calib3.json
gated_1b_baseline,4,4,per_token,none,14.70770960215786,4622.123889693768,4607.416180091611,5.7502377757885075,8.438609594822514,,8.438609594822514,0,255,0,,,gated_1b_baseline_b4_per_token_none_calib4.json
gated_1b_baseline,0,4,per_token,position_0,14.70770960215786,3371.350888599951,3356.643178997793,5.434696981141958,8.123068800175965,,8.123068800175965,0,255,1,,,gated_1b_baseline_b4_per_token_position_0_calib0.json
gated_1b_baseline,1,4,per_token,position_0,14.70770960215786,3371.350888599951,3356.643178997793,5.434696981141958,8.123068800175965,,8.123068800175965,0,255,1,,,gated_1b_baseline_b4_per_token_position_0_calib1.json
gated_1b_baseline,2,4,per_token,position_0,14.70770960215786,3371.350888599951,3356.643178997793,5.434696981141958,8.123068800175965,,8.123068800175965,0,255,1,,,gated_1b_baseline_b4_per_token_position_0_calib2.json
gated_1b_baseline,3,4,per_token,position_0,14.70770960215786,3371.350888599951,3356.643178997793,5.434696981141958,8.123068800175965,,8.123068800175965,0,255,1,,,gated_1b_baseline_b4_per_token_position_0_calib3.json
gated_1b_baseline,4,4,per_token,position_0,14.70770960215786,3371.350888599951,3356.643178997793,5.434696981141958,8.123068800175965,,8.123068800175965,0,255,1,,,gated_1b_baseline_b4_per_token_position_0_calib4.json
